vertexId,osm_node_id,point
1,414663051,POINT (128.9194518 35.1147181)
2,436414323,POINT (128.9292943 35.2213265)
3,436414324,POINT (128.9316156 35.2202515)
4,436414325,POINT (128.9317328 35.2201936)
5,436414326,POINT (128.9323668 35.2198939)
6,436414327,POINT (128.9330112 35.2196059)
7,436414328,POINT (128.9344877 35.2190701)
8,436414329,POINT (128.9350665 35.2188593)
9,436414330,POINT (128.9366344 35.2183276)
10,436414331,POINT (128.9375911 35.2180028)
11,436414333,POINT (128.9405499 35.2170129)
12,436414336,POINT (128.9427389 35.2162856)
13,436414338,POINT (128.9441678 35.2157968)
14,436414339,POINT (128.9456980 35.2152892)
15,436414341,POINT (128.9480634 35.2144931)
16,436414343,POINT (128.9494057 35.2142175)
17,436414344,POINT (128.9498319 35.2141806)
18,436414346,POINT (128.9533115 35.2138357)
19,436419224,POINT (128.9930356 35.2045623)
20,436419231,POINT (128.9870694 35.2124540)
21,436419232,POINT (128.9874173 35.2130345)
22,436419562,POINT (128.9812418 35.2109825)
23,436463433,POINT (128.9073433 35.1177433)
24,436463436,POINT (128.8987758 35.1201357)
25,436463437,POINT (128.8975292 35.1204890)
26,436463443,POINT (128.8946169 35.1219276)
27,436463483,POINT (128.8430419 35.1054495)
28,436463484,POINT (128.8426178 35.1051780)
29,436463486,POINT (128.8397917 35.1031460)
30,436463487,POINT (128.8391798 35.1026984)
31,436463491,POINT (128.8364963 35.1014619)
32,436463499,POINT (128.9322098 35.1115642)
33,436773067,POINT (128.8571280 35.0878317)
34,436773070,POINT (128.8571310 35.0845134)
35,436773075,POINT (128.8492229 35.0925700)
36,436773076,POINT (128.8479300 35.0925700)
37,436773077,POINT (128.8479300 35.0900900)
38,436773078,POINT (128.8427513 35.0900890)
39,436773079,POINT (128.8427492 35.0909781)
40,436773080,POINT (128.8427456 35.0925795)
41,436773081,POINT (128.8427435 35.0934429)
42,436773082,POINT (128.8427414 35.0943694)
43,436773083,POINT (128.8408300 35.0943700)
44,436773084,POINT (128.8408214 35.0956154)
45,436773085,POINT (128.8460504 35.0956181)
46,436773086,POINT (128.8513189 35.0956304)
47,436773087,POINT (128.8513200 35.0943700)
48,436773088,POINT (128.8513250 35.0934534)
49,436778267,POINT (128.8492167 35.0967800)
50,436778270,POINT (128.8426937 35.0995396)
51,436779511,POINT (128.8897795 35.1625459)
52,436779515,POINT (128.8897710 35.1626490)
53,436779519,POINT (128.8899800 35.1632100)
54,436779643,POINT (128.8658336 35.0957567)
55,436779645,POINT (128.8675300 35.0957600)
56,436779652,POINT (128.8669201 35.0934725)
57,436779654,POINT (128.8668800 35.0957600)
58,436780062,POINT (128.8541101 35.0934568)
59,436780068,POINT (128.8570701 35.0934605)
60,436780072,POINT (128.8606801 35.0900335)
61,436780073,POINT (128.8620731 35.0900354)
62,436780074,POINT (128.8620720 35.0925709)
63,436780075,POINT (128.8657662 35.0925748)
64,436780077,POINT (128.8676501 35.0900432)
65,436780079,POINT (128.8541291 35.0909327)
66,436780080,POINT (128.8541434 35.0890133)
67,436780082,POINT (128.8606900 35.0925694)
68,436780085,POINT (128.8620712 35.0943900)
69,436780087,POINT (128.8620702 35.0966903)
70,436780089,POINT (128.8620696 35.0979756)
71,436780097,POINT (128.8570959 35.0997785)
72,436781884,POINT (128.8657962 35.0836476)
73,436782040,POINT (128.8460505 35.0836237)
74,436782045,POINT (128.8392182 35.0844907)
75,436782048,POINT (128.8427709 35.0856800)
76,436782050,POINT (128.8417300 35.0856688)
77,436782055,POINT (128.8369405 35.0878091)
78,436782066,POINT (128.8404895 35.1042007)
79,436782101,POINT (128.8774754 35.0890404)
80,436782114,POINT (128.8843292 35.0874049)
81,436782116,POINT (128.8841300 35.0865688)
82,436782134,POINT (128.8657761 35.0900406)
83,436782136,POINT (128.8620735 35.0890234)
84,436782139,POINT (128.8670798 35.0966903)
85,436782141,POINT (128.8592007 35.0966903)
86,436782142,POINT (128.8676646 35.0925768)
87,436782146,POINT (128.8571269 35.0890162)
88,436782148,POINT (128.8555973 35.0845128)
89,436782149,POINT (128.8492335 35.0845034)
90,436782150,POINT (128.8427711 35.0844989)
91,436782151,POINT (128.8657904 35.0845400)
92,436782152,POINT (128.8620900 35.0845400)
93,436790597,POINT (128.8774945 35.0813141)
94,436798240,POINT (128.8788117 35.1318335)
95,436798246,POINT (128.8851204 35.1357870)
96,436802438,POINT (128.9484217 35.1799315)
97,436802461,POINT (128.9223897 35.1752746)
98,436802469,POINT (128.9189137 35.1755504)
99,436802518,POINT (128.8293182 35.0994356)
100,436802526,POINT (128.8312029 35.0997225)
101,436802531,POINT (128.8323093 35.1006279)
102,436802536,POINT (128.8277317 35.0949628)
103,436802543,POINT (128.8300864 35.0988138)
104,436802550,POINT (128.8238479 35.0980984)
105,436802555,POINT (128.8243313 35.0977472)
106,436802557,POINT (128.8269888 35.0999220)
107,436802559,POINT (128.8279052 35.1006497)
108,436802561,POINT (128.8278629 35.1019089)
109,436802582,POINT (128.8417041 35.0878128)
110,436802590,POINT (128.8408300 35.0900900)
111,436802592,POINT (128.8380900 35.0900900)
112,436802594,POINT (128.8380800 35.0922000)
113,436802597,POINT (128.8355500 35.0922100)
114,436802604,POINT (128.8526300 35.0864700)
115,436802606,POINT (128.8492200 35.0864700)
