edgeId,from_node_id,to_node_id,geom,length_meter,avg_slope_percent,width_meter,has_stairs,has_curb_gap,has_elevator,has_crosswalk,has_signal,has_audio_signal,has_braille_block,surface_type,vertexId
1,629,6307,"LINESTRING (128.8350856 35.1013886, 128.8346348 35.1014540, 128.8342759 35.1015293, 128.8340560 35.1015876, 128.8338485 35.1016636, 128.8331863 35.1019492, 128.8330036 35.1020219, 128.8325785 35.1021911, 128.8323336 35.1022721, 128.8321645 35.1023189, 128.8316302 35.1024596, 128.8311555 35.1025161, 128.8307234 35.1025254, 128.8300793 35.1024985, 128.8289905 35.1024504, 128.8259261 35.1022897)",858.16,,,False,False,False,False,False,False,False,UNKNOWN,629
2,34,33,"LINESTRING (128.8571310 35.0845134, 128.8571280 35.0878317)",368.98,,,False,False,False,False,False,False,False,UNKNOWN,34
3,33,3710,"LINESTRING (128.8571280 35.0878317, 128.8571270 35.0888743)",115.93,,,False,False,False,False,False,False,False,UNKNOWN,33
4,3710,87,"LINESTRING (128.8571270 35.0888743, 128.8571269 35.0890162)",15.78,,,False,False,False,False,False,False,False,UNKNOWN,3710
5,3635,49,"LINESTRING (128.8492150 35.0979629, 128.8492167 35.0967800)",131.53,,,False,False,False,False,False,False,False,UNKNOWN,3635
6,49,339,"LINESTRING (128.8492167 35.0967800, 128.8492184 35.0956304)",127.83,,,False,False,False,False,False,False,False,UNKNOWN,49
7,339,119,"LINESTRING (128.8492184 35.0956304, 128.8492203 35.0943700)",140.15,,,False,False,False,False,False,False,False,UNKNOWN,339
8,119,118,"LINESTRING (128.8492203 35.0943700, 128.8492217 35.0934508)",102.21,,,False,False,False,False,False,False,False,UNKNOWN,119
9,118,35,"LINESTRING (128.8492217 35.0934508, 128.8492229 35.0925700)",97.94,,,False,False,False,False,False,False,False,UNKNOWN,118
10,35,317,"LINESTRING (128.8492229 35.0925700, 128.8492265 35.0901049)",274.11,,,False,False,False,False,False,False,False,UNKNOWN,35
11,317,3713,"LINESTRING (128.8492265 35.0901049, 128.8492232 35.0890085)",121.91,,,False,False,False,False,False,False,False,UNKNOWN,317
12,3713,2289,"LINESTRING (128.8492232 35.0890085, 128.8492231 35.0888747)",14.88,,,False,False,False,False,False,False,False,UNKNOWN,3713
13,1659,6340,"LINESTRING (128.8803683 35.1682083, 128.8803683 35.1678657, 128.8804546 35.1676844, 128.8807011 35.1675333, 128.8812187 35.1674426, 128.8817733 35.1672008, 128.8820719 35.1670066)",227.67,,,False,False,False,False,False,False,False,UNKNOWN,1659
14,6340,1660,"LINESTRING (128.8820719 35.1670066, 128.8835151 35.1660681, 128.8847839 35.1654416)",302.37,,,False,False,False,False,False,False,False,UNKNOWN,6340
