node_id,source_node_id,sample_area,lat,lon,geom_wkt
414664144,414664144,seomyeon_station_1km,35.1565073,129.0461223,POINT (129.0461223 35.1565073)
414664247,414664247,seomyeon_station_1km,35.1495032,129.0655548,POINT (129.0655548 35.1495032)
414664268,414664268,seomyeon_station_1km,35.1524539,129.0499998,POINT (129.0499998 35.1524539)
414664297,414664297,seomyeon_station_1km,35.1623005,129.0497267,POINT (129.0497267 35.1623005)
436724876,436724876,seomyeon_station_1km,35.1482149,129.059188,POINT (129.0591880 35.1482149)
436724881,436724881,seomyeon_station_1km,35.1521898,129.0593306,POINT (129.0593306 35.1521898)
436724885,436724885,seomyeon_station_1km,35.1544766,129.059282,POINT (129.0592820 35.1544766)
436724889,436724889,seomyeon_station_1km,35.1571368,129.059076,POINT (129.0590760 35.1571368)
436724893,436724893,seomyeon_station_1km,35.1589952,129.060188,POINT (129.0601880 35.1589952)
436724899,436724899,seomyeon_station_1km,35.1614039,129.0621042,POINT (129.0621042 35.1614039)
436724914,436724914,seomyeon_station_1km,35.1670472,129.0659421,POINT (129.0659421 35.1670472)
436773795,436773795,seomyeon_station_1km,35.1577538,129.0654386,POINT (129.0654386 35.1577538)
436773797,436773797,seomyeon_station_1km,35.1577768,129.0660416,POINT (129.0660416 35.1577768)
436773799,436773799,seomyeon_station_1km,35.1577768,129.0672138,POINT (129.0672138 35.1577768)
436774037,436774037,seomyeon_station_1km,35.15937,129.04584,POINT (129.0458400 35.1593700)
436774040,436774040,seomyeon_station_1km,35.1600962,129.0502617,POINT (129.0502617 35.1600962)
436774373,436774373,seomyeon_station_1km,35.1506167,129.0578688,POINT (129.0578688 35.1506167)
436774383,436774383,seomyeon_station_1km,35.1558848,129.057222,POINT (129.0572220 35.1558848)
436774385,436774385,seomyeon_station_1km,35.1568268,129.0571945,POINT (129.0571945 35.1568268)
436776364,436776364,seomyeon_station_1km,35.14764,129.05143,POINT (129.0514300 35.1476400)
436776369,436776369,seomyeon_station_1km,35.14965,129.04971,POINT (129.0497100 35.1496500)
436776375,436776375,seomyeon_station_1km,35.1570774,129.04861,POINT (129.0486100 35.1570774)
436776377,436776377,seomyeon_station_1km,35.15776,129.04827,POINT (129.0482700 35.1577600)
436776383,436776383,seomyeon_station_1km,35.1614517,129.0499744,POINT (129.0499744 35.1614517)
436778506,436778506,seomyeon_station_1km,35.1632436,129.0519816,POINT (129.0519816 35.1632436)
436801632,436801632,seomyeon_station_1km,35.1534056,129.0718927,POINT (129.0718927 35.1534056)
436801650,436801650,seomyeon_station_1km,35.164859,129.0534822,POINT (129.0534822 35.1648590)
436805574,436805574,seomyeon_station_1km,35.1577768,129.0682868,POINT (129.0682868 35.1577768)
436805582,436805582,seomyeon_station_1km,35.1641177,129.0517098,POINT (129.0517098 35.1641177)
436805611,436805611,seomyeon_station_1km,35.1490355,129.0631592,POINT (129.0631592 35.1490355)
436805613,436805613,seomyeon_station_1km,35.1505897,129.0621573,POINT (129.0621573 35.1505897)
436805615,436805615,seomyeon_station_1km,35.155929,129.0547615,POINT (129.0547615 35.1559290)
436809268,436809268,seomyeon_station_1km,35.1577217,129.0578067,POINT (129.0578067 35.1577217)
436809269,436809269,seomyeon_station_1km,35.15774,129.059293,POINT (129.0592930 35.1577400)
436823277,436823277,seomyeon_station_1km,35.14914,129.0624398,POINT (129.0624398 35.1491400)
436823289,436823289,seomyeon_station_1km,35.1501553,129.060994,POINT (129.0609940 35.1501553)
436823291,436823291,seomyeon_station_1km,35.150189,129.0592925,POINT (129.0592925 35.1501890)
436832315,436832315,seomyeon_station_1km,35.1544806,129.0578083,POINT (129.0578083 35.1544806)
436837741,436837741,seomyeon_station_1km,35.159751,129.0671943,POINT (129.0671943 35.1597510)
436837742,436837742,seomyeon_station_1km,35.159937,129.0667304,POINT (129.0667304 35.1599370)
436837747,436837747,seomyeon_station_1km,35.1604538,129.06543,POINT (129.0654300 35.1604538)
436837764,436837764,seomyeon_station_1km,35.1504849,129.0684402,POINT (129.0684402 35.1504849)
