segment_id,source_way_id,sample_area,from_node_id,to_node_id,highway,name,rule_bucket,length_meter,geom_wkt
37396787_1,37396787,seomyeon_station_1km,12520469241,11966241697,secondary,서전로,conditional,53.61,"LINESTRING (129.0592822 35.1576448, 129.0598680 35.1577002)"
37396787_2,37396787,seomyeon_station_1km,11966241697,11966241693,secondary,서전로,conditional,72.796,"LINESTRING (129.0598680 35.1577002, 129.0606687 35.1577079)"
37396807_1,37396807,seomyeon_station_1km,7495702007,414664247,secondary,신천대로,conditional,18.59,"LINESTRING (129.0656903 35.1493780, 129.0655548 35.1495032)"
37396920_1,37396920,seomyeon_station_1km,1768303961,436776364,tertiary,만리산로,conditional,816.891,"LINESTRING (129.0547708 35.1419032, 129.0547496 35.1419950, 129.0547144 35.1422235, 129.0547174 35.1423887, 129.0547509 35.1425773, 129.0548069 35.1426995, 129.0548305 35.1428142, 129.0548405 35.1428628, 129.0548512 35.1430646, 129.0544435 35.1441437, 129.0541476 35.1451722, 129.0539721 35.1457820, 129.0537140 35.1466791, 129.0535638 35.1469247, 129.0531657 35.1472005, 129.0529308 35.1473633, 129.0526947 35.1474598, 129.0524979 35.1474734, 129.0522189 35.1473419, 129.0520313 35.1472804, 129.0518400 35.1472788, 129.0516862 35.1473283, 129.0515253 35.1474511, 129.0514300 35.1476400)"
37396920_2,37396920,seomyeon_station_1km,436776364,1781760322,tertiary,만리산로,conditional,214.18,"LINESTRING (129.0514300 35.1476400, 129.0514300 35.1476700, 129.0512532 35.1482848, 129.0511651 35.1485066, 129.0509845 35.1486923, 129.0502701 35.1492303)"
37396920_3,37396920,seomyeon_station_1km,1781760322,1781760454,tertiary,만리산로,conditional,47.589,"LINESTRING (129.0502701 35.1492303, 129.0498917 35.1495260)"
37396920_4,37396920,seomyeon_station_1km,1781760454,436776369,tertiary,만리산로,conditional,21.518,"LINESTRING (129.0498917 35.1495260, 129.0497100 35.1496500)"
37396922_1,37396922,seomyeon_station_1km,436776375,1764380177,tertiary,가야대로703번길,conditional,64.815,"LINESTRING (129.0486100 35.1570774, 129.0485585 35.1572029, 129.0484000 35.1575500, 129.0483558 35.1576214)"
37396922_2,37396922,seomyeon_station_1km,1764380177,436776377,tertiary,가야대로703번길,conditional,17.273,"LINESTRING (129.0483558 35.1576214, 129.0482700 35.1577600)"
37396922_3,37396922,seomyeon_station_1km,436776377,1764380225,tertiary,가야대로703번길,conditional,34.034,"LINESTRING (129.0482700 35.1577600, 129.0483711 35.1580547)"
37396922_4,37396922,seomyeon_station_1km,1764380225,12814386275,tertiary,가야대로703번길,conditional,45.891,"LINESTRING (129.0483711 35.1580547, 129.0483900 35.1581100, 129.0485291 35.1584466)"
37396922_5,37396922,seomyeon_station_1km,12814386275,1764380213,tertiary,가야대로703번길,conditional,100.256,"LINESTRING (129.0485291 35.1584466, 129.0487610 35.1590075, 129.0488181 35.1591018, 129.0488818 35.1591733, 129.0489939 35.1592442)"
37397017_1,37397017,seomyeon_station_1km,12553763740,12553708703,secondary,시민공원로,conditional,40.595,"LINESTRING (129.0536887 35.1638247, 129.0539315 35.1639241, 129.0540960 35.1639730)"
37397017_2,37397017,seomyeon_station_1km,12553708703,436846738,secondary,시민공원로,conditional,12.5,"LINESTRING (129.0540960 35.1639730, 129.0542227 35.1640167)"
37397017_3,37397017,seomyeon_station_1km,436846738,436853333,secondary,시민공원로,conditional,42.819,"LINESTRING (129.0542227 35.1640167, 129.0544211 35.1640923, 129.0546541 35.1641711)"
37397017_4,37397017,seomyeon_station_1km,436853333,5307678953,secondary,시민공원로,conditional,134.539,"LINESTRING (129.0546541 35.1641711, 129.0549373 35.1642830, 129.0559101 35.1646320, 129.0560047 35.1646656)"
37397017_5,37397017,seomyeon_station_1km,5307678953,1771431764,secondary,시민공원로,conditional,141.713,"LINESTRING (129.0560047 35.1646656, 129.0566645 35.1648997, 129.0574178 35.1652030)"
37397017_6,37397017,seomyeon_station_1km,1771431764,12546130490,secondary,시민공원로,conditional,236.506,"LINESTRING (129.0574178 35.1652030, 129.0580061 35.1654629, 129.0587010 35.1657977, 129.0587387 35.1658159, 129.0587912 35.1658447, 129.0593864 35.1661709, 129.0596426 35.1663030)"
37397017_7,37397017,seomyeon_station_1km,12546130490,12353918432,secondary,시민공원로,conditional,25.058,"LINESTRING (129.0596426 35.1663030, 129.0598757 35.1664233)"
37397017_8,37397017,seomyeon_station_1km,12353918432,3946654812,secondary,시민공원로,conditional,11.6,"LINESTRING (129.0598757 35.1664233, 129.0599309 35.1664518, 129.0599845 35.1664778)"
37397017_9,37397017,seomyeon_station_1km,3946654812,12546151503,secondary,시민공원로,conditional,9.457,"LINESTRING (129.0599845 35.1664778, 129.0600749 35.1665199)"
