vertexId,osm_node_id,point
1,414664144,POINT (129.0461223 35.1565073)
2,414664247,POINT (129.0655548 35.1495032)
3,414664268,POINT (129.0499998 35.1524539)
4,414664297,POINT (129.0497267 35.1623005)
5,436724876,POINT (129.0591880 35.1482149)
6,436724881,POINT (129.0593306 35.1521898)
7,436724885,POINT (129.0592820 35.1544766)
8,436724889,POINT (129.0590760 35.1571368)
9,436724893,POINT (129.0601880 35.1589952)
10,436724899,POINT (129.0621042 35.1614039)
11,436724914,POINT (129.0659421 35.1670472)
12,436773795,POINT (129.0654386 35.1577538)
13,436773797,POINT (129.0660416 35.1577768)
14,436773799,POINT (129.0672138 35.1577768)
15,436774037,POINT (129.0458400 35.1593700)
16,436774040,POINT (129.0502617 35.1600962)
17,436774373,POINT (129.0578688 35.1506167)
18,436774383,POINT (129.0572220 35.1558848)
19,436774385,POINT (129.0571945 35.1568268)
20,436776364,POINT (129.0514300 35.1476400)
21,436776369,POINT (129.0497100 35.1496500)
22,436776375,POINT (129.0486100 35.1570774)
23,436776377,POINT (129.0482700 35.1577600)
24,436776383,POINT (129.0499744 35.1614517)
25,436778506,POINT (129.0519816 35.1632436)
26,436801632,POINT (129.0718927 35.1534056)
27,436801650,POINT (129.0534822 35.1648590)
28,436805574,POINT (129.0682868 35.1577768)
29,436805582,POINT (129.0517098 35.1641177)
30,436805611,POINT (129.0631592 35.1490355)
31,436805613,POINT (129.0621573 35.1505897)
32,436805615,POINT (129.0547615 35.1559290)
33,436809268,POINT (129.0578067 35.1577217)
34,436809269,POINT (129.0592930 35.1577400)
35,436823277,POINT (129.0624398 35.1491400)
36,436823289,POINT (129.0609940 35.1501553)
37,436823291,POINT (129.0592925 35.1501890)
38,436832315,POINT (129.0578083 35.1544806)
39,436837741,POINT (129.0671943 35.1597510)
40,436837742,POINT (129.0667304 35.1599370)
41,436837747,POINT (129.0654300 35.1604538)
42,436837764,POINT (129.0684402 35.1504849)
43,436837765,POINT (129.0684233 35.1518150)
44,436837768,POINT (129.0683888 35.1545268)
45,436838201,POINT (129.0624028 35.1507115)
46,436838204,POINT (129.0623791 35.1544995)
47,436838205,POINT (129.0623551 35.1572247)
48,436838264,POINT (129.0392003 35.1654325)
49,436838276,POINT (129.0469658 35.1657467)
50,436838287,POINT (129.0489900 35.1670500)
51,436843158,POINT (129.0578239 35.1534261)
52,436843175,POINT (129.0578025 35.1584394)
53,436843178,POINT (129.0572734 35.1588036)
54,436843182,POINT (129.0560354 35.1597884)
55,436843185,POINT (129.0556279 35.1606539)
56,436843186,POINT (129.0555402 35.1610749)
57,436846738,POINT (129.0542227 35.1640167)
58,436848721,POINT (129.0555803 35.1494358)
59,436848756,POINT (129.0622667 35.1619759)
60,436848760,POINT (129.0611447 35.1636511)
61,436848769,POINT (129.0595531 35.1629756)
62,436848770,POINT (129.0605052 35.1634238)
63,436848773,POINT (129.0628627 35.1644874)
64,436853289,POINT (129.0554230 35.1624681)
65,436853290,POINT (129.0550297 35.1630283)
66,436853325,POINT (129.0553279 35.1626120)
67,436853333,POINT (129.0546541 35.1641711)
68,436859082,POINT (129.0479999 35.1513923)
69,436859083,POINT (129.0487535 35.1517923)
70,436859084,POINT (129.0495048 35.1521911)
71,436859095,POINT (129.0540297 35.1482513)
72,436859106,POINT (129.0494522 35.1532683)
73,436860589,POINT (129.0480683 35.1442640)
74,436870939,POINT (129.0654781 35.1545214)
75,436870942,POINT (129.0654365 35.1574184)
76,436870944,POINT (129.0654484 35.1585658)
77,436870950,POINT (129.0654242 35.1632622)
78,436870954,POINT (129.0640192 35.1638379)
79,436871121,POINT (129.0630289 35.1545044)
80,436873302,POINT (129.0547334 35.1577122)
81,436873307,POINT (129.0546739 35.1606500)
82,436873310,POINT (129.0561848 35.1613921)
83,436873421,POINT (129.0692841 35.1615374)
84,436873423,POINT (129.0690368 35.1624920)
85,436873431,POINT (129.0773004 35.1730592)
86,436882671,POINT (129.0897094 35.1497498)
87,444690028,POINT (129.0628390 35.1664821)
88,444690031,POINT (129.0644680 35.1666114)
89,444690035,POINT (129.0667587 35.1654305)
90,884174956,POINT (129.0341204 35.1475904)
91,1450699274,POINT (129.0653375 35.1502500)
92,1450699275,POINT (129.0584228 35.1506779)
93,1450699276,POINT (129.0599494 35.1507177)
94,1450699277,POINT (129.0661739 35.1517948)
95,1450699278,POINT (129.0672696 35.1518046)
96,1450699283,POINT (129.0655012 35.1521011)
97,1450699284,POINT (129.0578511 35.1521741)
98,1450699285,POINT (129.0584106 35.1521823)
99,1450699287,POINT (129.0654999 35.1522336)
100,1450699290,POINT (129.0568052 35.1534137)
101,1450699291,POINT (129.0583967 35.1534249)
102,1450699293,POINT (129.0608432 35.1534462)
103,1450699294,POINT (129.0617529 35.1534572)
104,1450699295,POINT (129.0623832 35.1534647)
105,1450699296,POINT (129.0629726 35.1534718)
106,1450699297,POINT (129.0638798 35.1534827)
107,1450699298,POINT (129.0648314 35.1534942)
108,1450699299,POINT (129.0652986 35.1534998)
109,1450699300,POINT (129.0599096 35.1539967)
110,1450699301,POINT (129.0608364 35.1540008)
111,1450699303,POINT (129.0617430 35.1540049)
112,1450699305,POINT (129.0608304 35.1544879)
113,1450699306,POINT (129.0617375 35.1544947)
114,1450699307,POINT (129.0629622 35.1545039)
115,1450699308,POINT (129.0583919 35.1544868)
116,1450699309,POINT (129.0648261 35.1545179)
117,1450699310,POINT (129.0661514 35.1545226)
118,1450699311,POINT (129.0672358 35.1545247)
119,1450699312,POINT (129.0661478 35.1549667)
120,1450699313,POINT (129.0672302 35.1549740)
121,1450699314,POINT (129.0683705 35.1549820)
122,1450699315,POINT (129.0652759 35.1553931)
123,1450699316,POINT (129.0577954 35.1553511)
124,1450699317,POINT (129.0583848 35.1553520)
125,1450699318,POINT (129.0592507 35.1553681)
126,1450699319,POINT (129.0608663 35.1553564)
127,1450699320,POINT (129.0617220 35.1553635)
128,1450699321,POINT (129.0623683 35.1553690)
129,1450699322,POINT (129.0638590 35.1553814)
130,1450699323,POINT (129.0654698 35.1554018)
131,1450699324,POINT (129.0648213 35.1553894)
132,1450699326,POINT (129.0661441 35.1554059)
133,1450699327,POINT (129.0672247 35.1554124)
134,1450699328,POINT (129.0683530 35.1554190)
135,1450699329,POINT (129.0598824 35.1559064)
136,1450699330,POINT (129.0608508 35.1559073)
137,1450699332,POINT (129.0672201 35.1561509)
138,1450699333,POINT (129.0661381 35.1561409)
139,1450699334,POINT (129.0608504 35.1563785)
140,1450699335,POINT (129.0592379 35.1564287)
141,1450699336,POINT (129.0583760 35.1564395)
142,1450699337,POINT (129.0598741 35.1564269)
143,1450699338,POINT (129.0623562 35.1565051)
144,1450699339,POINT (129.0638464 35.1565212)
145,1450699340,POINT (129.0648153 35.1565317)
146,1450699341,POINT (129.0654591 35.1565251)
147,1450699342,POINT (129.0652623 35.1565364)
148,1450699343,POINT (129.0661349 35.1565219)
149,1450699344,POINT (129.0672183 35.1565284)
150,1450699345,POINT (129.0652324 35.1572997)
151,1450699346,POINT (129.0602647 35.1568087)
152,1450699347,POINT (129.0661319 35.1568818)
153,1450699348,POINT (129.0672166 35.1568929)
154,1450699349,POINT (129.0683271 35.1569062)
155,1450699350,POINT (129.0577716 35.1569572)
156,1450699352,POINT (129.0606926 35.1572227)
157,1450699353,POINT (129.0612042 35.1572233)
158,1450699354,POINT (129.0638476 35.1572317)
159,1450699355,POINT (129.0648115 35.1572425)
160,1450699357,POINT (129.0584074 35.1577294)
161,1450699361,POINT (129.0661244 35.1577768)
162,1450699362,POINT (129.0648120 35.1577387)
163,1450699368,POINT (129.0596016 35.1582548)
164,1450699369,POINT (129.0606633 35.1582620)
165,1450699370,POINT (129.0586708 35.1582991)
166,1450699372,POINT (129.0648038 35.1582960)
167,1450699374,POINT (129.0607901 35.1586603)
168,1450699375,POINT (129.0647877 35.1600489)
169,1450699376,POINT (129.0638034 35.1604303)
170,1450699377,POINT (129.0623001 35.1605152)
171,1450699379,POINT (129.0629430 35.1607573)
172,1450706739,POINT (129.0499746 35.1623596)
173,1480706750,POINT (129.0573632 35.1521699)
174,1762982009,POINT (129.0636539 35.1487258)
175,1762982030,POINT (129.0631658 35.1488052)
176,1762982067,POINT (129.0639628 35.1489815)
177,1762982077,POINT (129.0631831 35.1488874)
178,1762982120,POINT (129.0631782 35.1489586)
179,1762982130,POINT (129.0633230 35.1489300)
180,1762982154,POINT (129.0627398 35.1485507)
181,1764274421,POINT (129.0692773 35.1503842)
182,1764282589,POINT (129.0656130 35.1495190)
183,1764282591,POINT (129.0653163 35.1520182)
184,1764282612,POINT (129.0668499 35.1473049)
185,1764293566,POINT (129.0676432 35.1499881)
186,1764293575,POINT (129.0676088 35.1500526)
187,1764293596,POINT (129.0688133 35.1502433)
188,1764293632,POINT (129.0682395 35.1503146)
189,1764293717,POINT (129.0897171 35.1496141)
190,1764293731,POINT (129.0619620 35.1500342)
191,1764293778,POINT (129.0675758 35.1501087)
192,1764293816,POINT (129.0692692 35.1502411)
193,1764293818,POINT (129.0678772 35.1502684)
194,1764380175,POINT (129.0472615 35.1569482)
195,1764380177,POINT (129.0483558 35.1576214)
196,1764380197,POINT (129.0464208 35.1575521)
197,1764380213,POINT (129.0489939 35.1592442)
198,1764380225,POINT (129.0483711 35.1580547)
199,1764380235,POINT (129.0497236 35.1583472)
200,1764861048,POINT (129.0481162 35.1662228)
201,1764861060,POINT (129.0460699 35.1660225)
202,1764899517,POINT (129.0506630 35.1683306)
203,1764899524,POINT (129.0502361 35.1647510)
204,1764899540,POINT (129.0503173 35.1647695)
205,1764899597,POINT (129.0502908 35.1640519)
206,1764981738,POINT (129.0477124 35.1625146)
207,1764984084,POINT (129.0521098 35.1695718)
208,1764986191,POINT (129.0549511 35.1623247)
209,1767576712,POINT (129.0557307 35.1484881)
210,1767576862,POINT (129.0559547 35.1477985)
211,1767576886,POINT (129.0554566 35.1499641)
212,1768225192,POINT (129.0557013 35.1620718)
213,1768225209,POINT (129.0646773 35.1665853)
214,1768225243,POINT (129.0650210 35.1665117)
215,1768225260,POINT (129.0649261 35.1665315)
216,1768225281,POINT (129.0555121 35.1623413)
217,1768226228,POINT (129.0578825 35.1627325)
218,1768226232,POINT (129.0576705 35.1638189)
219,1768279391,POINT (129.0505533 35.1575573)
220,1768279397,POINT (129.0562851 35.1507412)
221,1768279405,POINT (129.0497197 35.1614265)
